지역명,날짜,매매지수
여주시,2020-05-25 00:00:52,
연천군,2020-05-25 00:00:52,
가평군,2020-05-25 00:00:52,
양평군,2020-05-25 00:00:52,
청주시 상당구,2020-05-25 00:00:52,83.47815705
청주시 서원구,2020-05-25 00:00:52,81.24301301
청주시 흥덕구,2020-05-25 00:00:52,80.68442759
청주시 청원구,2020-05-25 00:00:52,85.90165529
충주시,2020-05-25 00:00:52,81.12316371
제천시,2020-05-25 00:00:52,83.16232939
보은군,2020-05-25 00:00:52,
옥천군,2020-05-25 00:00:52,
영동군,2020-05-25 00:00:52,
증평군,2020-05-25 00:00:52,
진천군,2020-05-25 00:00:52,
괴산군,2020-05-25 00:00:52,
음성군,2020-05-25 00:00:52,
단양군,2020-05-25 00:00:52,
천안시 동남구,2020-05-25 00:00:52,85.41483878
천안시 서북구,2020-05-25 00:00:52,82.8859607
공주시,2020-05-25 00:00:52,77.97709234
보령시,2020-05-25 00:00:52,
아산시,2020-05-25 00:00:52,80.11313073
서산시,2020-05-25 00:00:52,89.68064211
논산시,2020-05-25 00:00:52,91.86339699
계룡시,2020-05-25 00:00:52,75.42101768
당진시,2020-05-25 00:00:52,99.09009745
금산군,2020-05-25 00:00:52,
부여군,2020-05-25 00:00:52,
서천군,2020-05-25 00:00:52,
청양군,2020-05-25 00:00:52,
홍성군,2020-05-25 00:00:52,
예산군,2020-05-25 00:00:52,
태안군,2020-05-25 00:00:52,
목포시,2020-05-25 00:00:52,100.0546813
여수시,2020-05-25 00:00:52,89.45953977
순천시,2020-05-25 00:00:52,90.94614944
나주시,2020-05-25 00:00:52,
광양시,2020-05-25 00:00:52,93.8131115
담양군,2020-05-25 00:00:52,
곡성군,2020-05-25 00:00:52,
구례군,2020-05-25 00:00:52,
고흥군,2020-05-25 00:00:52,
보성군,2020-05-25 00:00:52,
화순군,2020-05-25 00:00:52,
장흥군,2020-05-25 00:00:52,
강진군,2020-05-25 00:00:52,
해남군,2020-05-25 00:00:52,
영암군,2020-05-25 00:00:52,
무안군,2020-05-25 00:00:52,
함평군,2020-05-25 00:00:52,
영광군,2020-05-25 00:00:52,
장성군,2020-05-25 00:00:52,
완도군,2020-05-25 00:00:52,
진도군,2020-05-25 00:00:52,
포항시 남구,2020-05-25 00:00:52,85.43715304
포항시 북구,2020-05-25 00:00:52,79.80565968
경주시,2020-05-25 00:00:52,
김천시,2020-05-25 00:00:52,88.15629611
안동시,2020-05-25 00:00:52,89.05909329
구미시,2020-05-25 00:00:52,83.26992594
영주시,2020-05-25 00:00:52,
영천시,2020-05-25 00:00:52,
상주시,2020-05-25 00:00:52,
문경시,2020-05-25 00:00:52,
경산시,2020-05-25 00:00:52,92.21502635
의성군,2020-05-25 00:00:52,
영덕군,2020-05-25 00:00:52,
청도군,2020-05-25 00:00:52,
고령군,2020-05-25 00:00:52,
성주군,2020-05-25 00:00:52,
칠곡군,2020-05-25 00:00:52,
예천군,2020-05-25 00:00:52,
봉화군,2020-05-25 00:00:52,
창원시 의창구,2020-05-25 00:00:52,83.01876711
창원시 성산구,2020-05-25 00:00:52,78.22200031
창원시 마산합포구,2020-05-25 00:00:52,86.06529102
창원시 마산회원구,2020-05-25 00:00:52,89.28246473
창원시 진해구,2020-05-25 00:00:52,85.32344642
진주시,2020-05-25 00:00:52,89.15520993
통영시,2020-05-25 00:00:52,94.78005927
사천시,2020-05-25 00:00:52,
김해시,2020-05-25 00:00:52,82.85303925
밀양시,2020-05-25 00:00:52,
거제시,2020-05-25 00:00:52,92.39039456
양산시,2020-05-25 00:00:52,83.63568754
의령군,2020-05-25 00:00:52,
함안군,2020-05-25 00:00:52,
창녕군,2020-05-25 00:00:52,
경남 고성군,2020-05-25 00:00:52,
남해군,2020-05-25 00:00:52,
하동군,2020-05-25 00:00:52,
산청군,2020-05-25 00:00:52,
함양군,2020-05-25 00:00:52,
거창군,2020-05-25 00:00:52,
합천군,2020-05-25 00:00:52,
제주시,2020-05-25 00:00:52,
서귀포시,2020-05-25 00:00:52,
춘천시,2020-05-25 00:00:52,83.471658
원주시,2020-05-25 00:00:52,84.82225083
강릉시,2020-05-25 00:00:52,76.74737028
동해시,2020-05-25 00:00:52,
태백시,2020-05-25 00:00:52,
속초시,2020-05-25 00:00:52,
삼척시,2020-05-25 00:00:52,
홍천군,2020-05-25 00:00:52,
횡성군,2020-05-25 00:00:52,
영월군,2020-05-25 00:00:52,
평창군,2020-05-25 00:00:52,
정선군,2020-05-25 00:00:52,
철원군,2020-05-25 00:00:52,
화천군,2020-05-25 00:00:52,
양구군,2020-05-25 00:00:52,
인제군,2020-05-25 00:00:52,
 고성군,2020-05-25 00:00:52,
양양군,2020-05-25 00:00:52,
전주시 완산구,2020-05-25 00:00:52,86.68425604
전주시 덕진구,2020-05-25 00:00:52,86.5955411
군산시,2020-05-25 00:00:52,80.327297
익산시,2020-05-25 00:00:52,91.8198262
정읍시,2020-05-25 00:00:52,
남원시,2020-05-25 00:00:52,
